% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.684	1	0	69	5	6	14	157
0.684	1	0	69	5	1	2	26
0.685	1	0	69	6	2	12	125
0.685	1	0	69	6	3	28	469
0.685	1	0	69	6	4	8	85
0.685	1	0	69	6	6	14	157
0.685	1	0	69	6	1	2	26
0.686	1	0	69	7	2	12	125
0.686	1	0	69	7	3	28	469
0.686	1	0	69	7	4	8	85
0.686	1	0	69	7	6	14	157
0.686	1	0	69	7	1	2	26
0.687	1	0	69	8	2	12	125
0.687	1	0	69	8	3	28	469
0.687	1	0	69	8	4	8	85
0.687	1	0	69	8	6	14	157
0.687	1	0	69	8	1	2	26
0.688	1	0	69	9	2	12	125
0.688	1	0	69	9	3	28	469
0.688	1	0	69	9	4	8	85
0.688	1	0	69	9	6	14	157
0.688	1	0	69	9	1	2	26
0.689	1	0	69	10	2	12	125
0.689	1	0	69	10	3	28	469
0.689	1	0	69	10	4	8	85
0.689	1	0	69	10	6	14	157
0.689	1	0	69	10	1	2	26
0.69	1	0	70	1	2	12	125
0.69	1	0	70	1	3	28	469
0.69	1	0	70	1	4	8	85
0.69	1	0	70	1	6	14	157
0.69	1	0	70	1	1	2	26
0.691	1	0	70	2	2	12	125
0.691	1	0	70	2	3	28	469
0.691	1	0	70	2	4	8	85
0.691	1	0	70	2	6	14	157
0.691	1	0	70	2	1	2	26
0.692	1	0	70	3	2	12	125
0.692	1	0	70	3	3	28	469
0.692	1	0	70	3	4	8	85
0.692	1	0	70	3	6	14	157
0.692	1	0	70	3	1	2	26
0.693	1	0	70	4	2	12	125
0.693	1	0	70	4	3	28	469
0.693	1	0	70	4	4	8	85
0.693	1	0	70	4	6	14	157
0.693	1	0	70	4	1	2	26
0.694	1	0	70	5	2	12	125
0.694	1	0	70	5	3	28	469
0.694	1	0	70	5	4	8	85
0.694	1	0	70	5	6	14	157
0.694	1	0	70	5	1	2	26
0.695	1	0	70	6	2	12	125
0.695	1	0	70	6	3	28	469
0.695	1	0	70	6	4	8	85
0.695	1	0	70	6	6	14	157
0.695	1	0	70	6	1	2	26
0.696	1	0	70	7	2	12	125
0.696	1	0	70	7	3	28	469
0.696	1	0	70	7	4	8	85
0.696	1	0	70	7	6	14	157
0.696	1	0	70	7	1	2	26
0.697	1	0	70	8	2	12	125
0.697	1	0	70	8	3	28	469
0.697	1	0	70	8	4	8	85
0.697	1	0	70	8	6	14	157
0.697	1	0	70	8	1	2	26
0.698	1	0	70	9	2	12	125
0.698	1	0	70	9	3	28	469
0.698	1	0	70	9	4	8	85
0.698	1	0	70	9	6	14	157
0.698	1	0	70	9	1	2	26
0.699	1	0	70	10	2	12	125
0.699	1	0	70	10	3	28	469
0.699	1	0	70	10	4	8	85
0.699	1	0	70	10	6	14	157
0.699	1	0	70	10	1	2	26
